Function,Algorithm,Mean,Std,Best,Median,Worst,TotalTimeSec,AvgTimePerRunSec,Rank
F19,SBOA,9.472E+03,1.115E+04,2.333E+03,4.060E+03,4.451E+04,677.4161315,22.5805377166667,1
F20,PSO,3.463E+03,2.902E+02,2.856E+03,3.477E+03,4.211E+03,202.8835772,6.76278590666667,3
F20,GWO,3.426E+03,2.104E+02,3.044E+03,3.461E+03,3.789E+03,249.1800559,8.30600186333333,2
F20,WSO,4.731E+03,1.239E+02,4.454E+03,4.747E+03,4.941E+03,229.389555,7.6463185,4
F20,SBOA,3.076E+03,2.553E+02,2.457E+03,3.071E+03,3.624E+03,279.4150131,9.31383377,1
F21,PSO,2.796E+03,6.361E+01,2.642E+03,2.796E+03,2.907E+03,301.7957947,10.0598598233333,3
F21,GWO,2.738E+03,2.421E+01,2.653E+03,2.742E+03,2.772E+03,363.7328536,12.1244284533333,2
F21,WSO,3.493E+03,7.572E+01,3.314E+03,3.519E+03,3.579E+03,328.854667,10.9618222333333,4
F21,SBOA,2.386E+03,2.446E+01,2.347E+03,2.380E+03,2.435E+03,384.4559862,12.81519954,1
F22,PSO,1.142E+04,1.060E+03,9.356E+03,1.136E+04,1.324E+04,340.2093074,11.3403102466667,3
F22,GWO,5.071E+03,6.397E+02,4.375E+03,4.852E+03,7.061E+03,413.2804335,13.77601445,1
F22,WSO,1.696E+04,3.716E+02,1.616E+04,1.704E+04,1.771E+04,366.1052043,12.20350681,4
F22,SBOA,9.539E+03,9.168E+02,7.716E+03,9.546E+03,1.133E+04,425.744624,14.1914874666667,2
F23,PSO,3.574E+03,1.757E+02,3.211E+03,3.577E+03,3.911E+03,399.5174459,13.3172481966667,3
F23,GWO,3.258E+03,2.353E+01,3.210E+03,3.265E+03,3.296E+03,472.7545228,15.7584840933333,2
F23,WSO,4.147E+03,1.152E+02,3.877E+03,4.166E+03,4.331E+03,436.3876705,14.5462556833333,4
F23,SBOA,2.818E+03,2.841E+01,2.771E+03,2.811E+03,2.883E+03,493.8872868,16.46290956,1
F24,PSO,3.784E+03,1.242E+02,3.582E+03,3.790E+03,4.063E+03,433.3114781,14.4437159366667,3
F24,GWO,3.396E+03,2.855E+01,3.317E+03,3.407E+03,3.437E+03,465.2709974,15.5090332466667,2
F24,WSO,4.195E+03,8.413E+01,4.068E+03,4.194E+03,4.342E+03,465.5265969,15.51755323,4
F24,SBOA,3.002E+03,2.939E+01,2.965E+03,2.999E+03,3.062E+03,521.4234897,17.38078299,1
F25,PSO,9.744E+03,3.583E+03,3.300E+03,8.687E+03,1.879E+04,411.057521,13.7019173666667,3
F25,GWO,4.332E+03,2.197E+02,3.953E+03,4.284E+03,4.940E+03,435.4400249,14.5146674966667,2
F25,WSO,5.691E+04,9.406E+03,3.707E+04,5.792E+04,7.162E+04,514.1728707,17.13909569,4
F25,SBOA,3.010E+03,2.925E+01,2.980E+03,3.015E+03,3.070E+03,508.2735791,16.9424526366667,1
F26,PSO,1.375E+04,1.853E+03,1.047E+04,1.351E+04,1.851E+04,558.1772734,18.6059091133333,3
