Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim
F1,28192.2239003184,25692.4175866741,300,25795.4971277238,106025.383068758,100000,50,30,20
F2,434.531918457402,30.4690003883916,400.025265265133,438.57973851864,512.944559342453,100000,50,30,20
F3,629.426761378204,18.1672740417349,605.799277092456,623.695104541521,664.938158005597,100000,50,30,20
F4,935.461291069319,64.7821512927662,828.85378746661,966.039744809984,1015.98155371782,100000,50,30,20
F5,4539.95618906914,1991.66316988576,1657.9632977705,4033.64724750336,10741.3350568761,100000,50,30,20
F6,4778366.81990765,10713347.5375451,1950.83167895348,12775.3689674884,29347130.4320797,100000,50,30,20
F7,2166.81673577849,100.819017815543,2043.60442014237,2124.23294876755,2397.52286132548,100000,50,30,20
F8,2303.47260883684,83.9819156253722,2224.84598961263,2255.96051470165,2485.95052403167,100000,50,30,20
F9,2485.22942088247,8.70376654529215,2480.78127167775,2480.91246351326,2513.7775271259,100000,50,30,20
F10,4435.23603945813,1763.35816001968,2500.4660898547,4401.31477245542,7567.52593318327,100000,50,30,20
F11,3062.70409433253,394.494941990607,2600,2900,4747.32722753563,100000,50,30,20
F12,2975.38111250884,25.3931589710937,2941.60414745956,2974.77972865967,3052.78502318012,100000,50,30,20
