Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim
F1,3749.47509587344,1948.51098599494,731.255176929436,3653.09932147872,8782.48774917939,100000,50,30,20
F2,444.835376034878,13.632228569359,404.926546998134,449.084478979522,472.355422028994,100000,50,30,20
F3,600.062150507944,0.155561440806028,600.005734088754,600.018941498357,600.774683378179,100000,50,30,20
F4,921.27358713787,14.4646983968762,898.181429356797,923.006466044632,956.931372233841,100000,50,30,20
F5,900.181919122457,0.344482600043424,900.000000014864,900.089529200281,901.727818014071,100000,50,30,20
F6,80072.2134267235,97936.1915567169,9708.18644352516,30529.6278813942,437711.60766398,100000,50,30,20
F7,2130.22646788226,23.4423140989916,2093.8609750737,2124.85543335164,2184.72107855195,100000,50,30,20
F8,2244.54431160994,5.06053349945033,2236.23450186487,2244.66853260227,2256.26174111484,100000,50,30,20
F9,2480.78127223142,5.41920546277751e-07,2480.7812717551,2480.78127198918,2480.7812736609,100000,50,30,20
F10,3890.53641523099,1741.4363954368,2500.49943105991,2500.80653029674,6490.9502522243,100000,50,30,20
F11,2903.33343668004,66.8675220945201,2600.00020652068,2900.00007867784,3000.00062762506,100000,50,30,20
F12,2944.17185984481,6.35825871055104,2933.97430094625,2943.46901767179,2963.86220430993,100000,50,30,20
