Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim
F1,300,4.35216801115971e-14,300,300,300,100000,50,30,10
F2,410.341332161762,16.7119679383585,400,408.916101927781,470.781083814056,100000,50,30,10
F3,602.543100906534,4.74006106331755,600.000862936738,600.486826672896,623.289704557616,100000,50,30,10
F4,826.029912710112,19.5055589830721,806.964708361834,819.401666303148,873.73368742125,100000,50,30,10
F5,917.115840704713,28.1476179680889,900,907.41311735103,1031.29865310989,100000,50,30,10
F6,1853.7501302817,39.7017928158775,1805.84554029371,1847.76904133622,1953.42079426296,100000,50,30,10
F7,2028.50960403123,14.4295276590185,2001.98991811502,2024.97049217901,2079.57160059931,100000,50,30,10
F8,2224.1884886999,8.79581640137203,2200.76856763243,2222.53842078468,2243.28614782643,100000,50,30,10
F9,2529.28438270849,8.44444631079804e-14,2529.28438270849,2529.28438270849,2529.28438270849,100000,50,30,10
F10,2666.6350810153,383.702227329121,2500.26580414488,2500.63341047891,3896.54553691795,100000,50,30,10
F11,2686.20739983806,151.248446395704,2600,2600,3183.57858789684,100000,50,30,10
F12,2864.13888979714,1.8387754969238,2861.40488075875,2863.87194840751,2867.76162022897,100000,50,30,10
