Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,300,1.86149290965447e-13,300,300,300.000000000001,100000,50,30,20,3
F2,432.044364934599,22.7835323292526,400.000047047055,449.084478979481,449.084478979482,100000,50,30,20,3
F3,614.780054753729,9.85993164292157,602.724007988424,611.696066178544,643.728914424005,100000,50,30,20,3
F4,853.847933125213,35.0610127818662,824.873956276056,843.778132975019,974.501605924987,100000,50,30,20,3
F5,1559.23101736432,541.457894143508,985.085240466813,1477.29571946384,3283.87329381254,100000,50,30,20,3
F6,3776.94755963169,2866.57162647056,1880.370961313,2597.01876454321,15128.4812741339,100000,50,30,20,3
F7,2109.73517987542,62.6592931283661,2037.21801883498,2093.25968067885,2298.6690979594,100000,50,30,20,3
F8,2270.72590644968,65.8362789210474,2221.63717597088,2233.47572641248,2458.65545606976,100000,50,30,20,3
F9,2480.78127167775,6.31924498320269e-13,2480.78127167775,2480.78127167775,2480.78127167775,100000,50,30,20,3
F10,4461.77107084831,1151.85199887867,2500.73565495532,4799.10907362156,6598.0705826257,100000,50,30,20,3
F11,2923.33333333333,43.0183067152076,2900,2900,3000,100000,50,30,20,3
F12,2966.16026776335,23.0743508233866,2936.83040329675,2958.3332237667,3019.14846543504,100000,50,30,20,3
