Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,300.000000000329,5.07226443100499e-10,300.000000000005,300.000000000145,300.000000002053,100000,50,30,20,1
F2,443.754282955245,14.4545927356956,400.001449384719,449.084478979481,449.084478979481,100000,50,30,20,1
F3,602.322117717176,5.15816858713651,600.002153874777,600.270504174892,624.198127159997,100000,50,30,20,1
F4,859.37757482322,42.2028170534603,815.919334837855,844.773086971574,957.986960546214,100000,50,30,20,1
F5,1067.63263208741,268.455093702696,900.089528250417,963.782742164984,1917.26766056079,100000,50,30,20,1
F6,5332.49472542071,4594.23862875981,1888.94432530782,3477.7304812376,22332.8956789846,100000,50,30,20,1
F7,2089.94878680878,53.9824774881367,2025.46122092339,2078.0115205935,2247.87066689198,100000,50,30,20,1
F8,2234.95028893362,23.4081831372969,2221.39680732163,2224.85882303492,2342.12101982916,100000,50,30,20,1
F9,2480.78127167775,2.67036839211279e-13,2480.78127167775,2480.78127167775,2480.78127167775,100000,50,30,20,1
F10,4066.52582589381,1094.24310150214,2500.64233448529,4262.4007809994,5934.7401206802,100000,50,30,20,1
F11,2910,71.1966678801896,2600,2900,3000.0000000001,100000,50,30,20,1
F12,2950.77171147042,11.6428651815526,2935.69640807426,2947.01359915278,2981.7639330224,100000,50,30,20,1
