Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,300,1.21274127119266e-13,300,300,300,100000,50,30,20,2
F2,439.251708954765,19.0005865797591,400.000000489756,449.084478979481,449.084478979482,100000,50,30,20,2
F3,607.396169188059,8.29317597948575,600.945537770883,604.798743449552,639.021639227484,100000,50,30,20,2
F4,850.459316477559,31.3025559968876,814.92438081858,837.310899081193,956.851159103576,100000,50,30,20,2
F5,1180.6077122351,415.143946613867,908.241091577379,1070.34507978739,2861.83129711511,100000,50,30,20,2
F6,3536.55760878124,2776.9233593599,1879.19904894349,2184.3315221327,12750.511525864,100000,50,30,20,2
F7,2110.26948751258,69.6402192808877,2026.37617112723,2081.01714025356,2238.63339124519,100000,50,30,20,2
F8,2251.21081999278,46.3107756288268,2221.22768921052,2230.72684246915,2360.8133851869,100000,50,30,20,2
F9,2480.78127167775,3.37777852431922e-13,2480.78127167775,2480.78127167775,2480.78127167775,100000,50,30,20,2
F10,3937.365350488,1400.00842219811,2500.4867331404,3912.24027387383,7232.51513864464,100000,50,30,20,2
F11,2913.33333333333,73.029674334022,2600,2900,3000,100000,50,30,20,2
F12,2959.75047388083,22.3833124737702,2937.3683696657,2954.1942196695,3035.32559261916,100000,50,30,20,2
