Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,17345.0046986516,19750.3960156722,300.000000000111,9910.52049129355,71948.9694991599,100000,50,30,20,1
F2,447.768042531735,30.4617587664716,400.104245438766,449.084478979481,561.385615702868,100000,50,30,20,1
F3,610.345039197768,12.3193884694886,600.085797877728,605.481023563928,658.960158895755,100000,50,30,20,1
F4,927.089302333421,48.3496885209948,843.778132975019,940.270670001755,1012.52697427046,100000,50,30,20,1
F5,3003.29433982386,1497.2464467639,901.996352575196,2636.53504467511,5725.99573621206,100000,50,30,20,1
F6,1757067.07478694,7834546.01541298,2084.60901855594,20577.3801928528,43118625.3424248,100000,50,30,20,1
F7,2105.17132494891,53.3307432587623,2024.57572666162,2097.54775842387,2253.96605628977,100000,50,30,20,1
F8,2242.76254029732,34.5890447681992,2221.49657932513,2231.25303545601,2367.80275174222,100000,50,30,20,1
F9,2482.28813291694,5.61703645543337,2480.78127167775,2480.8036833015,2510.38501329268,100000,50,30,20,1
F10,3889.51773053488,1055.56812253042,2500.70672684453,4286.03437910371,5664.23925571905,100000,50,30,20,1
F11,3085.713703175,432.958414190474,2600,2900,4672.35390566607,100000,50,30,20,1
F12,2962.85146836709,24.4308607488475,2939.29795781754,2955.34834720303,3025.35883350574,100000,50,30,20,1
