Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,27862.4769512186,25086.2115807616,300,20666.6019285821,86463.5697164637,100000,50,30,20,2
F2,445.535206244193,32.1762378521442,400.135340086566,449.084478979481,592.577718008214,100000,50,30,20,2
F3,620.097597664931,16.6371028826151,602.134545019751,615.897457848745,668.032493684128,100000,50,30,20,2
F4,931.403779967814,57.4726913739012,846.762984911765,922.123093658217,1032.45007484075,100000,50,30,20,2
F5,3581.8410737815,1985.53752441889,969.04382706485,3196.80583130759,9586.74203479964,100000,50,30,20,2
F6,4122463.58159592,10075686.6523618,2016.9854285575,20582.2136801437,29347261.2474524,100000,50,30,20,2
F7,2129.1687565799,70.1756470605054,2033.33326453772,2110.53199842959,2274.97645250146,100000,50,30,20,2
F8,2272.65436007481,51.1627391462784,2221.46427960854,2255.83690262976,2375.9857654075,100000,50,30,20,2
F9,2484.53610732915,10.0131919684945,2480.78127167775,2480.78255085916,2516.84438741153,100000,50,30,20,2
F10,4098.98499601012,1246.33225693751,2500.76852753888,4447.3402271114,6389.68565586363,100000,50,30,20,2
F11,3118.20222541172,411.484362504879,2900,2900,4659.15711367385,100000,50,30,20,2
F12,2962.23563549862,15.5150625708514,2941.92409668292,2956.70054539624,2996.70314120847,100000,50,30,20,2
