Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300.000001528734,7.67374730584131e-06,300.00000000001,300.000000005514,300.00004209643,30.061919,1.002064,100000,50,30,20
F2,447.034176703174,8.19359026707398,404.33144894342,449.084478979481,449.084479373888,29.549198,0.984973,100000,50,30,20
F3,600.000000201677,6.86938240624678e-07,600,600,600.000002869795,38.203484,1.273449,100000,50,30,20
F4,886.459703868212,25.2336408573371,812.93446277634,893.788824432133,910.900986278128,30.330557,1.011019,100000,50,30,20
F5,900.018128408967,0.0839881857744829,900,900,900.454324018591,36.054173,1.201806,100000,50,30,20
F6,3143.70411531696,3285.48979172051,1823.77389922594,1893.26356261742,15403.1586777927,27.456447,0.915215,100000,50,30,20
F7,2018.02462537006,12.249625537651,2000.31244216493,2022.37447612699,2050.09477370295,44.598317,1.486611,100000,50,30,20
F8,2222.3988829425,6.30609882934362,2204.4274476009,2224.90742376032,2226.42847469562,49.532896,1.651097,100000,50,30,20
F9,2480.78127167775,0,2480.78127167775,2480.78127167775,2480.78127167775,43.700628,1.456688,100000,50,30,20
F10,2562.99318651467,163.347280503616,2500.42096428274,2500.4927480328,3309.62529447005,38.692543,1.289751,100000,50,30,20
F11,2926.66666666667,44.9776445108804,2900,2900,3000,49.660177,1.655339,100000,50,30,20
F12,2942.68541573219,11.4457633391971,2934.48899080739,2940.55736904805,2997.92233433713,53.421356,1.780712,100000,50,30,20
