Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,9270.01600415528,3867.49865688341,4073.58233660179,7797.17135807482,19539.7177342579,7.302277,0.243409,100000,50,30,10
F2,439.381785718742,25.2619967503244,411.173631713987,456.37597881756,462.361016842993,5.907603,0.196920,100000,50,30,10
F3,602.287029572957,1.51191480719163,601.013210630464,601.31037134706,605.948983968879,9.791009,0.326367,100000,50,30,10
F4,835.593869362131,11.1370660934754,820.343326350637,833.018654559469,866.396462596299,6.446296,0.214877,100000,50,30,10
F5,918.140021639948,20.731244569532,901.399121398614,914.77261721285,972.560076824755,9.328737,0.310958,100000,50,30,10
F6,7866.10424793508,793.91159496679,4940.44716330939,8071.16261370191,8104.55442509549,6.816837,0.227228,100000,50,30,10
F7,2063.72742860412,19.3034523620366,2033.57203948449,2064.46357064881,2105.08150515589,15.914582,0.530486,100000,50,30,10
F8,2246.28078915302,11.5228423300823,2227.29237847647,2252.97143974014,2254.44780629059,19.128992,0.637633,100000,50,30,10
F9,2577.92280913066,17.5354675184078,2548.16158840526,2573.37496531494,2636.02696569862,15.976295,0.532543,100000,50,30,10
F10,2567.30360663307,68.0007136640831,2500.35500115784,2562.05587040909,2638.04631308622,13.654985,0.455166,100000,50,30,10
F11,2853.48486334799,164.997713660834,2750.30423851926,2750.36898978735,3247.91046536818,17.778373,0.592612,100000,50,30,10
F12,2865.4366081514,2.21437132911885,2864.83982738694,2865.01116602423,2876.82120532853,19.879356,0.662645,100000,50,30,10
