Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,96371.0140021109,13758.8702662991,61110.0335778399,97736.0999727859,121089.515598529,13.806586,0.460220,100000,50,30,20
F2,6664.38485132399,1485.20340116247,2898.62936939412,6438.09066906005,9538.37012380876,9.525345,0.317512,100000,50,30,20
F3,711.50540328338,8.96279836181669,691.312447756748,712.955747246362,727.216865707919,17.984246,0.599475,100000,50,30,20
F4,1102.16960124235,20.3820230753331,1065.29763654925,1106.54095854435,1140.13906175612,11.309941,0.376998,100000,50,30,20
F5,12542.1381474114,1647.96511105204,9658.05809791697,12302.1496471974,15470.7980151278,15.996341,0.533211,100000,50,30,20
F6,3015399728.04737,1249929211.90465,488484792.502902,3234094550.73227,5311604230.50377,10.692546,0.356418,100000,50,30,20
F7,2314.20650247371,34.9686130931467,2200.88974297342,2313.2118344976,2369.23344648105,29.709115,0.990304,100000,50,30,20
F8,2845.59999235607,188.600118623767,2312.92727520232,2878.92149329495,3138.72495560836,37.522790,1.250760,100000,50,30,20
F9,3239.63039072995,149.358766452603,2869.32784606251,3255.01281569762,3487.90438204492,29.642750,0.988092,100000,50,30,20
F10,5525.18262768945,1648.77829269634,2857.99858688953,6406.91310785541,7297.18659156263,23.824104,0.794137,100000,50,30,20
F11,10930.9306502407,1573.11483353103,7337.79552594784,11227.9887656343,13255.3712713802,34.686327,1.156211,100000,50,30,20
F12,3235.43033372895,61.3563365879983,3085.12496286209,3243.45071555714,3354.30105175053,43.202870,1.440096,100000,50,30,20
