Algorithm,SumRank,FinalRank,AlgTimeTotal_s,AlgTimeMeanPerFunc_s
DE,20,1,471.2652228,39.2721019
SBOA,33,2,601.4126312,50.1177192666667
BMJAYA,38,3,396.0774487,33.0064540583333
JAYA,42,4,452.1863934,37.68219945
GWO,65,5,244.5168591,20.376404925
DOA,67,6,507.6237647,42.3019803916667
PSO,71,7,229.8122151,19.151017925
WSO,96,8,277.9059412,23.1588284333333
