Function,Algorithm,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,Rank
F7,JAYA,2.113E+03,3.036E+01,2.063E+03,2.113E+03,2.187E+03,4.558E+01,1.519E+00,4
F7,SBOA,2.040E+03,1.327E+01,2.023E+03,2.035E+03,2.064E+03,5.345E+01,1.782E+00,2
F7,DOA,2.131E+03,3.913E+01,2.040E+03,2.144E+03,2.185E+03,5.351E+01,1.784E+00,6
F8,PSO,2.266E+03,5.568E+01,2.225E+03,2.237E+03,2.395E+03,3.335E+01,1.112E+00,6
F8,GWO,2.252E+03,1.581E+01,2.230E+03,2.258E+03,2.278E+03,3.312E+01,1.104E+00,4
F8,WSO,2.846E+03,1.886E+02,2.313E+03,2.879E+03,3.139E+03,3.752E+01,1.251E+00,8
F8,BMJAYA,2.255E+03,5.197E+01,2.221E+03,2.226E+03,2.365E+03,4.547E+01,1.516E+00,5
F8,DE,2.222E+03,6.306E+00,2.204E+03,2.225E+03,2.226E+03,4.953E+01,1.651E+00,1
F8,JAYA,2.244E+03,7.113E+00,2.234E+03,2.243E+03,2.262E+03,5.579E+01,1.860E+00,3
F8,SBOA,2.225E+03,2.577E+00,2.222E+03,2.224E+03,2.231E+03,6.372E+01,2.124E+00,2
F8,DOA,2.278E+03,4.662E+01,2.239E+03,2.258E+03,2.400E+03,6.236E+01,2.079E+00,7
F9,PSO,2.590E+03,6.145E+01,2.488E+03,2.587E+03,2.695E+03,2.570E+01,8.566E-01,7
F9,GWO,2.549E+03,2.983E+01,2.510E+03,2.542E+03,2.622E+03,2.654E+01,8.848E-01,6
F9,WSO,3.240E+03,1.494E+02,2.869E+03,3.255E+03,3.488E+03,2.964E+01,9.881E-01,8
F9,BMJAYA,2.481E+03,2.269E-12,2.481E+03,2.481E+03,2.481E+03,3.865E+01,1.288E+00,2
F9,DE,2.481E+03,0.000E+00,2.481E+03,2.481E+03,2.481E+03,4.370E+01,1.457E+00,2
F9,JAYA,2.481E+03,7.328E-12,2.481E+03,2.481E+03,2.481E+03,4.585E+01,1.528E+00,2
F9,SBOA,2.481E+03,2.779E-04,2.481E+03,2.481E+03,2.481E+03,6.433E+01,2.144E+00,4
F9,DOA,2.518E+03,3.368E+01,2.490E+03,2.504E+03,2.654E+03,4.526E+01,1.509E+00,5
F10,PSO,4.555E+03,8.284E+02,2.531E+03,4.722E+03,5.864E+03,2.604E+01,8.678E-01,6
F10,GWO,3.349E+03,1.251E+03,2.501E+03,2.714E+03,5.721E+03,2.116E+01,7.053E-01,3
F10,WSO,5.525E+03,1.649E+03,2.858E+03,6.407E+03,7.297E+03,2.382E+01,7.941E-01,8
F10,BMJAYA,4.193E+03,1.348E+03,2.501E+03,4.263E+03,7.099E+03,3.753E+01,1.251E+00,5
F10,DE,2.563E+03,1.633E+02,2.500E+03,2.500E+03,3.310E+03,3.869E+01,1.290E+00,1
F10,JAYA,4.848E+03,1.453E+03,2.500E+03,5.529E+03,6.551E+03,3.853E+01,1.284E+00,7
F10,SBOA,2.584E+03,3.374E+02,2.500E+03,2.501E+03,4.192E+03,6.600E+01,2.200E+00,2
F10,DOA,4.048E+03,1.173E+03,2.501E+03,4.609E+03,5.466E+03,3.862E+01,1.287E+00,4
F11,PSO,5.252E+03,9.814E+02,3.499E+03,5.434E+03,7.449E+03,2.936E+01,9.786E-01,7
F11,GWO,3.674E+03,2.040E+02,3.364E+03,3.670E+03,4.066E+03,3.327E+01,1.109E+00,6
F11,WSO,1.093E+04,1.573E+03,7.338E+03,1.123E+04,1.326E+04,3.469E+01,1.156E+00,8
F11,BMJAYA,2.894E+03,8.697E+01,2.600E+03,2.900E+03,3.000E+03,4.594E+01,1.531E+00,1
F11,DE,2.927E+03,4.498E+01,2.900E+03,2.900E+03,3.000E+03,4.966E+01,1.655E+00,3
F11,JAYA,2.907E+03,6.915E+01,2.600E+03,2.900E+03,3.000E+03,4.729E+01,1.576E+00,2
F11,SBOA,2.969E+03,1.028E+02,2.600E+03,3.000E+03,3.159E+03,8.700E+01,2.900E+00,4
F11,DOA,3.171E+03,9.938E+01,2.937E+03,3.169E+03,3.324E+03,5.971E+01,1.990E+00,5
F12,PSO,3.018E+03,5.102E+01,2.946E+03,3.011E+03,3.165E+03,3.288E+01,1.096E+00,6
F12,GWO,2.987E+03,1.525E+01,2.953E+03,2.982E+03,3.012E+03,3.519E+01,1.173E+00,5
F12,WSO,3.235E+03,6.136E+01,3.085E+03,3.243E+03,3.354E+03,4.320E+01,1.440E+00,8
F12,BMJAYA,2.963E+03,2.252E+01,2.939E+03,2.957E+03,3.039E+03,4.740E+01,1.580E+00,4
F12,DE,2.943E+03,1.145E+01,2.934E+03,2.941E+03,2.998E+03,5.342E+01,1.781E+00,1
F12,JAYA,2.952E+03,1.703E+01,2.938E+03,2.946E+03,3.010E+03,5.352E+01,1.784E+00,3
F12,SBOA,2.943E+03,2.351E+00,2.939E+03,2.944E+03,2.948E+03,8.280E+01,2.760E+00,2
F12,DOA,3.029E+03,7.547E+01,2.944E+03,2.996E+03,3.281E+03,6.074E+01,2.025E+00,7
