Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,20644.1397436212,5677.11852688961,8603.26037414806,20366.6035481212,33497.4838007465,33.103637,1.103455,100000,50,30,20
F2,528.271635441592,49.1690783580621,458.142303372313,514.519027385686,646.842417105843,26.781401,0.892713,100000,50,30,20
F3,650.667115466709,15.6133019757711,626.161713286995,647.816606046969,679.288235251537,35.815607,1.193854,100000,50,30,20
F4,901.503146005534,18.5413296451078,867.137048493023,898.615315983199,966.545491190585,27.453275,0.915109,100000,50,30,20
F5,2157.76476214956,692.537228806168,1135.4495456237,2112.24547028696,3321.51242728513,36.353380,1.211779,100000,50,30,20
F6,22401653.9096007,11120583.9148062,6404303.13556872,23872249.3663123,64107446.3020232,27.907883,0.930263,100000,50,30,20
F7,2130.83627814833,39.1254965270791,2039.5326872436,2143.709795386,2184.97958594026,53.510711,1.783690,100000,50,30,20
F8,2278.06381049438,46.6178873045927,2238.70519038937,2257.79003614777,2400.03681794506,62.358465,2.078615,100000,50,30,20
F9,2517.83895814419,33.6773502015823,2490.43267006835,2503.55493807193,2653.79235646185,45.255996,1.508533,100000,50,30,20
F10,4048.29103376903,1173.09899973678,2500.6469719726,4608.74991810006,5466.32784517528,38.620672,1.287356,100000,50,30,20
F11,3170.8595988895,99.3810216253094,2936.78620190309,3168.63887765941,3324.17630719084,59.714540,1.990485,100000,50,30,20
F12,3029.1688050599,75.4663800991025,2944.32762350107,2995.92698712507,3281.38018062947,60.744034,2.024801,100000,50,30,20
