Function,Algorithm,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,Rank
F4,JAYA,8.322E+02,5.469E+00,8.213E+02,8.328E+02,8.421E+02,1.630E+01,5.433E-01,6
F4,SBOA,8.153E+02,5.724E+00,8.060E+02,8.144E+02,8.289E+02,1.926E+01,6.419E-01,2
F4,DOA,8.306E+02,6.162E+00,8.146E+02,8.324E+02,8.379E+02,1.749E+01,5.829E-01,5
F5,PSO,9.338E+02,7.736E+01,9.000E+02,9.001E+02,1.155E+03,8.863E+00,2.954E-01,7
F5,GWO,9.181E+02,2.073E+01,9.014E+02,9.148E+02,9.726E+02,9.329E+00,3.110E-01,5
F5,WSO,3.898E+03,6.524E+02,2.428E+03,4.035E+03,5.031E+03,1.071E+01,3.569E-01,8
F5,BMJAYA,9.171E+02,2.815E+01,9.000E+02,9.074E+02,1.031E+03,2.050E+01,6.832E-01,4
F5,DE,9.000E+02,0.000E+00,9.000E+02,9.000E+02,9.000E+02,2.605E+01,8.684E-01,1.5
F5,JAYA,9.000E+02,0.000E+00,9.000E+02,9.000E+02,9.000E+02,1.927E+01,6.424E-01,1.5
F5,SBOA,9.005E+02,9.596E-01,9.000E+02,9.001E+02,9.051E+02,2.270E+01,7.568E-01,3
F5,DOA,9.299E+02,2.505E+01,9.027E+02,9.239E+02,1.006E+03,2.119E+01,7.063E-01,6
F6,PSO,6.432E+03,2.048E+03,1.920E+03,8.055E+03,8.267E+03,6.086E+00,2.029E-01,4
F6,GWO,7.866E+03,7.939E+02,4.940E+03,8.071E+03,8.105E+03,6.817E+00,2.272E-01,5
F6,WSO,7.601E+07,5.174E+07,9.818E+06,6.719E+07,2.155E+08,8.161E+00,2.720E-01,8
F6,BMJAYA,1.854E+03,3.970E+01,1.806E+03,1.848E+03,1.953E+03,1.832E+01,6.105E-01,2
F6,DE,1.801E+03,1.056E+00,1.800E+03,1.800E+03,1.804E+03,2.332E+01,7.773E-01,1
F6,JAYA,8.175E+03,4.554E+03,3.547E+03,7.470E+03,2.294E+04,1.684E+01,5.613E-01,6
F6,SBOA,4.123E+03,1.889E+03,1.852E+03,3.860E+03,8.251E+03,2.008E+01,6.692E-01,3
F6,DOA,7.817E+05,7.059E+05,8.050E+04,5.583E+05,3.029E+06,1.868E+01,6.227E-01,7
F7,PSO,2.027E+03,1.059E+01,2.020E+03,2.023E+03,2.074E+03,1.553E+01,5.176E-01,4
F7,GWO,2.064E+03,1.930E+01,2.034E+03,2.064E+03,2.105E+03,1.591E+01,5.305E-01,7
F7,WSO,2.135E+03,2.362E+01,2.086E+03,2.138E+03,2.176E+03,1.745E+01,5.816E-01,8
F7,BMJAYA,2.029E+03,1.443E+01,2.002E+03,2.025E+03,2.080E+03,2.709E+01,9.031E-01,5
F7,DE,2.000E+03,4.645E-01,2.000E+03,2.000E+03,2.002E+03,3.218E+01,1.073E+00,1
F7,JAYA,2.025E+03,3.561E+00,2.021E+03,2.025E+03,2.034E+03,2.628E+01,8.759E-01,3
F7,SBOA,2.020E+03,5.194E+00,2.001E+03,2.021E+03,2.023E+03,2.952E+01,9.839E-01,2
F7,DOA,2.055E+03,2.895E+01,2.025E+03,2.048E+03,2.144E+03,2.792E+01,9.307E-01,6
F8,PSO,2.226E+03,6.546E+00,2.206E+03,2.226E+03,2.242E+03,1.972E+01,6.573E-01,5
F8,GWO,2.246E+03,1.152E+01,2.227E+03,2.253E+03,2.254E+03,1.913E+01,6.376E-01,7
F8,WSO,2.265E+03,1.558E+01,2.240E+03,2.264E+03,2.305E+03,2.080E+01,6.932E-01,8
F8,BMJAYA,2.224E+03,8.796E+00,2.201E+03,2.223E+03,2.243E+03,3.050E+01,1.017E+00,4
F8,DE,2.200E+03,3.248E-01,2.200E+03,2.200E+03,2.201E+03,3.586E+01,1.195E+00,1
F8,JAYA,2.224E+03,4.271E+00,2.214E+03,2.225E+03,2.229E+03,2.967E+01,9.889E-01,3
F8,SBOA,2.217E+03,7.370E+00,2.202E+03,2.221E+03,2.223E+03,3.249E+01,1.083E+00,2
F8,DOA,2.231E+03,2.737E+00,2.226E+03,2.231E+03,2.237E+03,3.213E+01,1.071E+00,6
F9,PSO,2.565E+03,5.082E+01,2.529E+03,2.533E+03,2.684E+03,1.542E+01,5.140E-01,6
F9,GWO,2.578E+03,1.754E+01,2.548E+03,2.573E+03,2.636E+03,1.598E+01,5.325E-01,7
F9,WSO,2.775E+03,5.093E+01,2.663E+03,2.789E+03,2.871E+03,1.746E+01,5.821E-01,8
F9,BMJAYA,2.529E+03,8.444E-14,2.529E+03,2.529E+03,2.529E+03,2.717E+01,9.058E-01,2.5
F9,DE,2.529E+03,0.000E+00,2.529E+03,2.529E+03,2.529E+03,3.299E+01,1.100E+00,2.5
F9,JAYA,2.529E+03,0.000E+00,2.529E+03,2.529E+03,2.529E+03,2.602E+01,8.674E-01,2.5
F9,SBOA,2.529E+03,0.000E+00,2.529E+03,2.529E+03,2.529E+03,2.928E+01,9.759E-01,2.5
F9,DOA,2.540E+03,3.731E+01,2.529E+03,2.530E+03,2.676E+03,3.263E+01,1.088E+00,5
F10,PSO,2.637E+03,2.026E+02,2.501E+03,2.515E+03,3.192E+03,1.255E+01,4.185E-01,7
F10,GWO,2.567E+03,6.800E+01,2.500E+03,2.562E+03,2.638E+03,1.365E+01,4.552E-01,4
F10,WSO,2.576E+03,3.025E+01,2.538E+03,2.568E+03,2.667E+03,1.509E+01,5.029E-01,6
F10,BMJAYA,2.667E+03,3.837E+02,2.500E+03,2.501E+03,3.897E+03,2.487E+01,8.289E-01,8
F10,DE,2.522E+03,4.347E+01,2.500E+03,2.500E+03,2.613E+03,3.024E+01,1.008E+00,2
F10,JAYA,2.572E+03,1.565E+02,2.500E+03,2.500E+03,3.290E+03,2.439E+01,8.131E-01,5
F10,SBOA,2.500E+03,7.829E-02,2.500E+03,2.500E+03,2.501E+03,2.688E+01,8.959E-01,1
F10,DOA,2.530E+03,5.350E+01,2.500E+03,2.501E+03,2.634E+03,2.928E+01,9.760E-01,3
F11,PSO,2.960E+03,2.431E+02,2.600E+03,2.805E+03,3.414E+03,1.666E+01,5.554E-01,7
F11,GWO,2.853E+03,1.650E+02,2.750E+03,2.750E+03,3.248E+03,1.778E+01,5.926E-01,6
F11,WSO,3.437E+03,2.838E+02,3.045E+03,3.375E+03,4.144E+03,1.942E+01,6.474E-01,8
F11,BMJAYA,2.686E+03,1.512E+02,2.600E+03,2.600E+03,3.184E+03,2.840E+01,9.466E-01,3
F11,DE,2.647E+03,1.096E+02,2.600E+03,2.600E+03,3.000E+03,3.428E+01,1.143E+00,2
F11,JAYA,2.713E+03,1.776E+02,2.600E+03,2.600E+03,3.184E+03,2.724E+01,9.082E-01,4
F11,SBOA,2.600E+03,6.031E-13,2.600E+03,2.600E+03,2.600E+03,3.096E+01,1.032E+00,1
F11,DOA,2.756E+03,1.876E+02,2.610E+03,2.631E+03,3.188E+03,3.060E+01,1.020E+00,5
F12,PSO,2.874E+03,2.443E+01,2.862E+03,2.868E+03,2.986E+03,1.890E+01,6.299E-01,7
F12,GWO,2.865E+03,2.214E+00,2.865E+03,2.865E+03,2.877E+03,1.988E+01,6.626E-01,6
F12,WSO,2.884E+03,8.860E+00,2.872E+03,2.881E+03,2.908E+03,2.160E+01,7.199E-01,8
F12,BMJAYA,2.864E+03,1.839E+00,2.861E+03,2.864E+03,2.868E+03,3.125E+01,1.042E+00,4
F12,DE,2.864E+03,1.466E+00,2.860E+03,2.863E+03,2.867E+03,3.667E+01,1.222E+00,3
F12,JAYA,2.862E+03,1.377E+00,2.859E+03,2.861E+03,2.864E+03,2.978E+01,9.927E-01,2
F12,SBOA,2.860E+03,1.273E+00,2.859E+03,2.860E+03,2.863E+03,3.385E+01,1.128E+00,1
F12,DOA,2.865E+03,2.035E+00,2.863E+03,2.865E+03,2.872E+03,3.209E+01,1.070E+00,5
