Function,Algorithm,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,Rank
F1,PSO,1.095E+03,2.237E+03,3.000E+02,3.000E+02,1.201E+04,6.619E+00,2.206E-01,5
F1,GWO,9.270E+03,3.867E+03,4.074E+03,7.797E+03,1.954E+04,7.302E+00,2.434E-01,7
F1,WSO,3.072E+04,7.178E+03,1.426E+04,3.236E+04,4.327E+04,8.673E+00,2.891E-01,8
F1,BMJAYA,3.000E+02,4.352E-14,3.000E+02,3.000E+02,3.000E+02,1.847E+01,6.155E-01,1.5
F1,DE,3.000E+02,0.000E+00,3.000E+02,3.000E+02,3.000E+02,2.390E+01,7.967E-01,1.5
F1,JAYA,3.000E+02,1.589E-05,3.000E+02,3.000E+02,3.000E+02,1.758E+01,5.859E-01,3
F1,SBOA,3.006E+02,2.227E+00,3.000E+02,3.000E+02,3.091E+02,2.036E+01,6.786E-01,4
F1,DOA,2.574E+03,1.189E+03,1.126E+03,2.233E+03,5.589E+03,1.908E+01,6.359E-01,6
F2,PSO,4.607E+02,7.911E+01,4.080E+02,4.469E+02,7.850E+02,5.764E+00,1.921E-01,7
F2,GWO,4.394E+02,2.526E+01,4.112E+02,4.564E+02,4.624E+02,5.908E+00,1.969E-01,6
F2,WSO,9.754E+02,1.572E+02,6.372E+02,1.006E+03,1.233E+03,7.283E+00,2.428E-01,8
F2,BMJAYA,4.103E+02,1.671E+01,4.000E+02,4.089E+02,4.708E+02,1.661E+01,5.537E-01,4
F2,DE,4.064E+02,3.123E+00,4.000E+02,4.089E+02,4.089E+02,2.218E+01,7.392E-01,2
F2,JAYA,4.064E+02,2.353E+00,4.041E+02,4.047E+02,4.089E+02,1.560E+01,5.200E-01,3
F2,SBOA,4.037E+02,1.989E+00,4.000E+02,4.044E+02,4.089E+02,1.885E+01,6.284E-01,1
F2,DOA,4.274E+02,2.957E+01,4.077E+02,4.122E+02,4.959E+02,1.715E+01,5.717E-01,5
F3,PSO,6.051E+02,4.615E+00,6.000E+02,6.034E+02,6.185E+02,9.186E+00,3.062E-01,6
F3,GWO,6.023E+02,1.512E+00,6.010E+02,6.013E+02,6.059E+02,9.791E+00,3.264E-01,4
F3,WSO,6.764E+02,1.030E+01,6.511E+02,6.773E+02,6.940E+02,1.103E+01,3.675E-01,8
F3,BMJAYA,6.025E+02,4.740E+00,6.000E+02,6.005E+02,6.233E+02,2.036E+01,6.787E-01,5
F3,DE,6.000E+02,0.000E+00,6.000E+02,6.000E+02,6.000E+02,2.591E+01,8.638E-01,1.5
F3,JAYA,6.000E+02,1.508E-13,6.000E+02,6.000E+02,6.000E+02,1.970E+01,6.568E-01,1.5
F3,SBOA,6.000E+02,1.065E-07,6.000E+02,6.000E+02,6.000E+02,2.283E+01,7.611E-01,3
F3,DOA,6.261E+02,1.572E+01,6.022E+02,6.218E+02,6.571E+02,2.105E+01,7.015E-01,7
F4,PSO,8.287E+02,1.148E+01,8.129E+02,8.276E+02,8.503E+02,5.700E+00,1.900E-01,4
F4,GWO,8.356E+02,1.114E+01,8.203E+02,8.330E+02,8.664E+02,6.446E+00,2.149E-01,7
F4,WSO,9.043E+02,1.349E+01,8.627E+02,9.071E+02,9.224E+02,7.820E+00,2.607E-01,8
F4,BMJAYA,8.260E+02,1.951E+01,8.070E+02,8.194E+02,8.737E+02,1.712E+01,5.706E-01,3
F4,DE,8.083E+02,4.786E+00,8.010E+02,8.070E+02,8.213E+02,2.274E+01,7.581E-01,1
