Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,23876.1397216992,18450.2590282402,926.659339287694,20348.4137581073,64969.5736272283,8.781375,0.292713,100000,50,30,20
F2,696.18063753537,167.521582601927,454.358408438866,680.240476846267,1193.93363692079,6.268906,0.208964,100000,50,30,20
F3,618.437265387332,8.68235672323561,604.189688119411,616.616085740097,641.94515434047,13.758648,0.458622,100000,50,30,20
F4,891.404709982375,24.0295866861283,851.081486228204,890.772791242517,940.21223179161,7.333239,0.244441,100000,50,30,20
F5,2732.99214757535,1046.72043923224,1469.99239168631,2514.08830438671,5365.87939698263,12.442749,0.414758,100000,50,30,20
F6,28723488.330015,86617178.153721,2608.91809033583,172458.982469413,478680984.615813,7.413686,0.247123,100000,50,30,20
F7,2077.71222508742,36.1179883397955,2031.59454852703,2072.83802159497,2185.70794472981,26.487596,0.882920,100000,50,30,20
F8,2266.11090559027,55.6792430461555,2224.66383409058,2237.32843165283,2394.54781889684,33.346758,1.111559,100000,50,30,20
F9,2589.53493376179,61.4451567539808,2487.9562419582,2586.62800568813,2694.79040862042,25.697904,0.856597,100000,50,30,20
F10,4555.03877122702,828.351473772575,2531.25065624964,4722.34128827208,5863.55807881008,26.035081,0.867836,100000,50,30,20
F11,5251.80221792258,981.443472600089,3498.53223133122,5434.25080649957,7449.40318035856,29.358172,0.978606,100000,50,30,20
F12,3017.82137898846,51.0182558560393,2946.33845126801,3011.38325868263,3164.86297579477,32.882705,1.096090,100000,50,30,20
