Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300,4.35216801115971e-14,300,300,300,18.465274,0.615509,100000,50,30,10
F2,410.341332161762,16.7119679383585,400,408.916101927781,470.781083814056,16.611836,0.553728,100000,50,30,10
F3,602.543100906534,4.74006106331755,600.000862936738,600.486826672896,623.289704557616,20.361604,0.678720,100000,50,30,10
F4,826.029912710112,19.5055589830721,806.964708361834,819.401666303148,873.73368742125,17.119457,0.570649,100000,50,30,10
F5,917.115840704713,28.1476179680889,900,907.41311735103,1031.29865310989,20.495563,0.683185,100000,50,30,10
F6,1853.7501302817,39.7017928158775,1805.84554029371,1847.76904133622,1953.42079426296,18.315063,0.610502,100000,50,30,10
F7,2028.50960403123,14.4295276590185,2001.98991811502,2024.97049217901,2079.57160059931,27.093004,0.903100,100000,50,30,10
F8,2224.1884886999,8.79581640137203,2200.76856763243,2222.53842078468,2243.28614782643,30.502704,1.016757,100000,50,30,10
F9,2529.28438270849,8.44444631079804e-14,2529.28438270849,2529.28438270849,2529.28438270849,27.173650,0.905788,100000,50,30,10
F10,2666.6350810153,383.702227329121,2500.26580414488,2500.63341047891,3896.54553691795,24.866669,0.828889,100000,50,30,10
F11,2686.20739983806,151.248446395704,2600,2600,3183.57858789684,28.396928,0.946564,100000,50,30,10
F12,2864.13888979714,1.8387754969238,2861.40488075875,2863.87194840751,2867.76162022897,31.253589,1.041786,100000,50,30,10
