Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,2630.06830277781,1498.53189031436,807.204693600909,2321.35949957426,6852.18785879233,28.694380,0.956479,100000,50,30,20
F2,447.099611986041,7.84399418547789,406.277592120853,449.084544226976,449.085540945952,25.669338,0.855645,100000,50,30,20
F3,600.03677443987,0.0719083336492686,600.00042879247,600.007846442943,600.337105373953,37.397834,1.246594,100000,50,30,20
F4,848.093304761534,14.0108596583484,820.151612271706,847.24397473962,870.641733642455,27.562801,0.918760,100000,50,30,20
F5,941.203182299639,52.3912505648774,900.35812529877,923.948637010409,1105.90236579512,34.806566,1.160219,100000,50,30,20
F6,21002.8628016041,7365.76650115453,2049.18649059448,24875.7397439012,25310.7564366603,29.959081,0.998636,100000,50,30,20
F7,2039.88328391073,13.2739987778059,2022.62095450802,2035.33902080515,2063.7917837085,53.454542,1.781818,100000,50,30,20
F8,2225.05394729,2.5768311617648,2222.12589042171,2224.41650933055,2231.27201467682,63.722632,2.124088,100000,50,30,20
F9,2480.78145350656,0.000277851031675361,2480.78127193339,2480.78130973651,2480.78239294416,64.333619,2.144454,100000,50,30,20
F10,2583.86876922233,337.393026734053,2500.44071614424,2500.61605215931,4191.52629068642,66.001607,2.200054,100000,50,30,20
F11,2969.14740048296,102.798142830655,2600.00374582119,3000.00012946034,3159.13138326508,87.003896,2.900130,100000,50,30,20
F12,2943.21796191301,2.351093850558,2938.7908446284,2943.66741126845,2947.91737854119,82.801239,2.760041,100000,50,30,20
